sorting,graph,tree,partition,basic_knowledge,loop_and_branch,simulate,weakness
0.61,0.97,0.85,0.96,0.64,0.47,0.66,loop_and_branch
0.51,0.55,0.51,0.63,0.79,0.81,0.91,sorting;graph;tree
0.79,0.78,0.8,0.48,0.78,0.58,0.48,partition;loop_and_branch;simulate
0.61,0.66,0.72,0.69,0.87,0.74,0.78,
0.85,0.65,0.94,0.43,0.83,0.53,0.87,partition;loop_and_branch
0.93,0.77,0.46,0.68,0.57,0.68,0.57,tree;basic_knowledge;simulate
0.85,0.78,0.99,0.58,0.58,0.76,0.62,partition;basic_knowledge
0.55,0.82,0.88,0.79,0.84,0.45,0.66,sorting;loop_and_branch
0.99,0.76,0.81,0.94,0.62,0.59,0.82,loop_and_branch
0.61,0.58,0.85,0.98,0.49,0.5,0.63,graph;basic_knowledge;loop_and_branch
0.9,0.91,0.43,0.82,0.73,0.77,0.89,tree
0.66,0.66,0.74,0.62,0.96,0.96,0.81,
0.69,0.94,0.51,0.57,0.53,0.76,0.71,tree;partition;basic_knowledge
0.96,0.82,0.55,0.73,0.66,0.71,0.56,tree;simulate
0.67,0.83,0.83,0.63,0.48,0.94,0.68,basic_knowledge
0.75,0.78,0.89,0.58,0.53,0.7,0.77,partition;basic_knowledge
0.79,0.73,0.91,0.89,0.68,0.6,0.74,
0.9,0.95,0.59,0.9,0.92,0.6,0.65,tree
0.49,0.82,0.54,0.5,0.52,0.9,0.83,sorting;tree;partition;basic_knowledge
0.7,0.69,0.74,0.72,0.9,0.47,0.76,loop_and_branch
0.76,0.53,0.75,0.6,0.7,0.59,0.73,graph;loop_and_branch
0.73,0.59,0.73,0.88,0.96,0.45,0.88,graph;loop_and_branch
0.88,0.47,0.73,0.91,0.5,0.62,0.44,graph;basic_knowledge;simulate
0.77,0.81,0.57,0.94,0.96,0.61,0.85,tree
0.59,0.91,0.96,0.56,0.59,0.72,0.81,sorting;partition;basic_knowledge
0.69,0.46,0.66,0.67,0.83,0.72,0.49,graph;simulate
0.76,0.54,0.86,0.9,0.6,0.82,0.55,graph;simulate
0.63,0.65,0.85,0.68,0.52,0.64,0.5,basic_knowledge;simulate
0.97,0.74,0.66,0.55,0.69,0.85,0.69,partition
0.68,0.93,0.61,0.71,0.63,0.67,0.43,simulate
0.61,0.53,0.44,0.75,0.47,0.52,0.82,graph;tree;basic_knowledge;loop_and_branch
0.58,0.78,0.94,0.79,0.87,0.65,0.64,sorting
0.98,0.94,0.75,0.85,0.95,0.98,0.77,
0.62,0.62,0.98,0.91,0.6,0.69,0.8,
0.51,0.68,0.81,0.57,0.5,0.9,0.58,sorting;partition;basic_knowledge;simulate
0.98,0.92,0.69,0.66,0.61,0.91,0.5,simulate
0.5,0.96,0.45,0.73,0.56,0.5,0.56,sorting;tree;basic_knowledge;loop_and_branch;simulate
0.66,0.58,0.71,0.85,0.53,0.89,0.68,graph;basic_knowledge
0.69,0.79,0.71,0.45,0.96,0.75,0.9,partition
0.96,0.46,0.63,0.7,0.56,0.6,0.95,graph;basic_knowledge
0.97,0.99,0.84,0.43,0.64,0.55,0.6,partition;loop_and_branch
0.9,0.61,0.71,0.88,0.85,0.7,0.73,
0.98,0.5,0.45,0.78,0.58,0.87,0.9,graph;tree;basic_knowledge
0.48,0.64,0.75,0.94,0.48,0.62,0.72,sorting;basic_knowledge
0.91,0.78,0.81,0.61,0.83,0.68,0.69,
0.62,0.63,0.81,0.82,0.94,0.44,0.86,loop_and_branch
0.56,0.99,0.75,0.93,0.99,0.84,0.93,sorting
0.52,0.49,0.92,0.8,0.65,0.75,0.54,sorting;graph;simulate
0.62,0.88,0.82,0.74,0.59,0.54,0.61,basic_knowledge;loop_and_branch
0.58,0.66,0.83,0.5,0.86,0.91,0.84,sorting;partition
0.96,0.55,0.71,0.68,0.61,0.58,0.6,graph;loop_and_branch
0.58,0.7,0.97,0.43,0.84,0.43,0.62,sorting;partition;loop_and_branch
0.92,0.66,0.46,0.91,0.54,0.94,0.52,tree;basic_knowledge;simulate
0.94,0.8,0.78,0.56,0.47,0.51,0.48,partition;basic_knowledge;loop_and_branch;simulate
0.98,0.93,0.88,0.6,0.65,0.6,0.91,
0.94,0.71,0.82,0.67,0.56,0.82,0.88,basic_knowledge
0.91,0.63,0.76,0.54,0.97,0.68,0.58,partition;simulate
0.6,0.95,0.51,0.43,0.7,0.62,0.5,tree;partition;simulate
0.97,0.48,0.51,0.93,0.52,0.69,0.68,graph;tree;basic_knowledge
0.69,0.66,0.85,0.61,0.58,0.48,0.65,basic_knowledge;loop_and_branch
0.53,0.96,0.57,0.48,0.52,0.72,0.73,sorting;tree;partition;basic_knowledge
0.82,0.59,0.84,0.97,0.7,0.77,0.52,graph;simulate
0.81,0.9,0.53,0.72,0.66,0.82,0.73,tree
0.44,0.5,0.76,0.78,0.91,0.68,0.99,sorting;graph
0.76,0.53,0.44,0.44,0.47,0.6,0.58,graph;tree;partition;basic_knowledge;simulate
0.98,0.69,0.85,0.79,0.69,0.48,0.65,loop_and_branch
0.9,0.77,0.92,0.82,0.87,0.82,0.83,
0.48,0.48,0.52,0.63,0.55,0.54,0.5,sorting;graph;tree;basic_knowledge;loop_and_branch;simulate
0.99,0.94,0.53,0.86,0.88,0.44,0.5,tree;loop_and_branch;simulate
0.55,0.54,0.85,0.91,0.59,0.72,0.77,sorting;graph;basic_knowledge
0.7,0.73,0.99,0.72,0.76,0.6,0.5,simulate
0.71,0.46,0.73,0.83,0.55,0.87,0.67,graph;basic_knowledge
0.89,0.53,0.65,0.56,0.48,0.61,0.54,graph;partition;basic_knowledge;simulate
0.68,0.81,0.46,0.66,0.97,0.64,0.48,tree;simulate
0.99,0.98,0.72,0.51,0.68,0.76,0.82,partition
0.92,0.91,0.44,0.83,0.85,0.94,0.77,tree
0.84,0.77,0.47,0.93,0.56,0.96,0.9,tree;basic_knowledge
0.55,0.63,0.59,0.96,0.62,0.97,0.54,sorting;tree;simulate
0.56,0.62,0.98,0.43,0.55,0.96,0.67,sorting;partition;basic_knowledge
0.53,0.92,0.94,0.72,0.55,0.73,0.53,sorting;basic_knowledge;simulate
0.48,0.57,0.51,0.57,0.71,0.98,0.91,sorting;graph;tree;partition
0.49,0.63,0.63,0.61,0.65,0.84,0.49,sorting;simulate
0.55,0.9,0.84,0.57,0.99,0.51,0.69,sorting;partition;loop_and_branch
0.83,0.52,0.86,0.6,0.89,0.98,0.59,graph;simulate
0.87,0.56,0.96,0.94,0.86,0.56,0.74,graph;loop_and_branch
0.95,0.6,0.85,0.86,0.67,0.57,0.86,loop_and_branch
0.77,0.6,0.89,0.99,0.61,0.97,0.98,
0.84,0.47,0.53,0.84,0.54,0.75,0.72,graph;tree;basic_knowledge
0.53,0.85,0.67,0.87,0.95,0.6,0.58,sorting;simulate
0.65,0.46,0.68,0.44,0.82,0.43,0.96,graph;partition;loop_and_branch
0.69,0.94,0.71,0.48,0.87,0.44,0.45,partition;loop_and_branch;simulate
0.77,0.67,0.82,0.96,0.76,0.92,0.47,simulate
0.99,0.61,0.44,0.8,0.58,0.44,0.64,tree;basic_knowledge;loop_and_branch
0.69,0.94,0.84,0.82,0.45,0.93,0.88,basic_knowledge
0.99,0.44,0.72,0.78,0.82,0.88,0.44,graph;simulate
0.85,0.56,0.83,0.51,0.88,0.83,0.73,graph;partition
0.88,0.78,0.64,0.82,0.48,0.58,0.56,basic_knowledge;loop_and_branch;simulate
0.88,0.54,0.62,0.77,0.65,0.88,0.54,graph;simulate
0.94,0.63,0.46,0.95,0.52,0.75,0.82,tree;basic_knowledge
0.45,0.77,0.56,0.92,0.62,0.57,0.69,sorting;tree;loop_and_branch
0.84,0.78,0.54,0.76,0.96,0.86,0.8,tree
0.7,0.62,0.5,0.79,0.72,0.87,0.64,tree
0.93,0.63,0.63,0.49,0.76,0.53,0.72,partition;loop_and_branch
0.68,0.54,0.72,0.88,0.45,0.79,0.95,graph;basic_knowledge
0.92,0.67,0.85,0.73,0.55,0.62,0.82,basic_knowledge
0.89,0.73,0.81,0.97,0.43,0.67,0.73,basic_knowledge
0.68,0.79,0.83,0.55,0.94,0.97,0.51,partition;simulate
0.91,0.93,0.91,0.8,0.86,0.96,0.68,
0.95,0.69,0.97,0.87,0.69,0.78,0.87,
0.84,0.61,0.62,0.64,0.58,0.46,0.81,basic_knowledge;loop_and_branch
0.58,0.67,0.66,0.54,0.48,0.62,0.7,sorting;partition;basic_knowledge
0.75,0.89,0.94,0.61,0.65,0.89,0.8,
0.68,0.88,0.85,0.87,0.79,0.98,0.47,simulate
0.63,0.82,0.93,0.56,0.74,0.6,0.7,partition
0.53,0.56,0.64,0.81,0.63,0.79,0.52,sorting;graph;simulate
0.69,0.49,0.57,0.54,0.97,0.99,0.51,graph;tree;partition;simulate
0.71,0.47,0.45,0.94,0.66,0.67,0.62,graph;tree
0.58,0.58,0.72,0.9,0.54,0.58,0.57,sorting;graph;basic_knowledge;loop_and_branch;simulate
0.6,0.81,0.63,0.44,0.79,0.9,0.73,partition
0.75,0.67,0.6,0.55,0.79,0.62,0.98,partition
0.48,0.8,0.83,0.46,0.94,0.5,0.55,sorting;partition;loop_and_branch;simulate
0.48,0.74,0.68,0.95,0.68,0.69,0.78,sorting
0.72,0.92,0.51,0.51,0.59,0.46,0.68,tree;partition;basic_knowledge;loop_and_branch
0.79,0.51,0.44,0.61,0.61,0.96,0.57,graph;tree;simulate
0.94,0.49,0.53,0.54,0.83,0.55,0.45,graph;tree;partition;loop_and_branch;simulate
0.45,0.54,0.71,0.96,0.6,0.7,0.48,sorting;graph;simulate
0.73,0.79,0.78,0.53,0.55,0.86,0.61,partition;basic_knowledge
0.84,0.77,0.69,0.66,0.89,0.53,0.61,loop_and_branch
0.57,0.73,0.58,0.94,0.56,0.66,0.47,sorting;tree;basic_knowledge;simulate
0.5,0.69,0.44,0.83,0.91,0.76,0.56,sorting;tree;simulate
0.53,0.48,0.7,0.82,0.53,0.77,0.58,sorting;graph;basic_knowledge;simulate
0.71,0.92,0.97,0.48,0.7,0.64,0.87,partition
0.43,0.87,0.75,0.89,0.98,0.61,0.9,sorting
0.5,0.9,0.46,0.67,0.66,0.99,0.97,sorting;tree
0.63,0.87,0.48,0.57,0.59,0.77,0.65,tree;partition;basic_knowledge
0.89,0.8,0.9,0.94,0.94,0.8,0.93,
0.9,0.58,0.52,0.51,0.81,0.87,0.56,graph;tree;partition;simulate
0.58,0.43,0.91,0.73,0.72,0.91,0.66,sorting;graph
0.97,0.53,0.95,0.75,0.9,0.95,0.53,graph;simulate
0.54,0.5,0.57,0.63,0.89,0.74,0.74,sorting;graph;tree
0.91,0.95,0.81,0.96,0.58,0.66,0.69,basic_knowledge
0.84,0.94,0.72,0.58,0.51,0.58,0.45,partition;basic_knowledge;loop_and_branch;simulate
0.46,0.71,0.45,0.56,0.5,0.77,0.91,sorting;tree;partition;basic_knowledge
0.64,0.85,0.74,0.6,0.94,0.84,0.76,
0.88,0.44,0.75,0.69,0.88,0.65,0.62,graph
0.62,0.9,0.69,0.85,0.97,0.8,0.6,
0.97,0.86,0.9,0.87,0.7,0.71,0.47,simulate
0.78,0.88,0.9,0.46,0.81,0.59,0.93,partition;loop_and_branch
0.79,0.96,0.47,0.44,0.96,0.73,0.69,tree;partition
0.44,0.49,0.8,0.69,0.51,0.82,0.71,sorting;graph;basic_knowledge
0.94,0.95,0.67,0.69,0.87,0.79,0.94,
0.78,0.5,0.7,0.91,0.78,0.59,0.92,graph;loop_and_branch
0.7,0.44,0.73,0.64,0.6,0.89,0.65,graph
0.82,0.83,0.45,0.86,0.46,0.81,0.88,tree;basic_knowledge
0.82,0.89,0.93,0.92,0.47,0.63,0.96,basic_knowledge
0.5,0.96,0.47,0.96,0.7,0.96,0.91,sorting;tree
0.81,0.91,0.5,0.88,0.64,0.66,0.51,tree;simulate
0.46,0.85,0.65,0.44,0.61,0.57,0.49,sorting;partition;loop_and_branch;simulate
0.75,0.71,0.96,0.63,0.83,0.43,0.5,loop_and_branch;simulate
0.87,0.98,0.93,0.5,0.85,0.43,0.6,partition;loop_and_branch
0.64,0.93,0.76,0.99,0.55,0.63,0.43,basic_knowledge;simulate
0.9,0.79,0.86,0.95,0.77,0.61,0.46,simulate
0.62,0.95,0.81,0.57,0.77,0.9,0.45,partition;simulate
0.6,0.89,0.51,0.55,0.84,0.76,0.8,tree;partition
0.44,0.58,0.79,0.69,0.65,0.54,0.92,sorting;graph;loop_and_branch
0.52,0.64,0.52,0.98,0.51,0.73,0.78,sorting;tree;basic_knowledge
0.67,0.75,0.45,0.54,0.85,0.81,0.59,tree;partition;simulate
0.92,0.79,0.47,0.91,0.65,0.96,0.96,tree
0.8,0.72,0.94,0.74,0.84,0.54,0.9,loop_and_branch
0.85,0.51,0.87,0.98,0.8,0.84,0.95,graph
0.97,0.54,0.61,0.8,0.55,0.96,0.71,graph;basic_knowledge
0.54,0.59,0.96,0.81,0.99,0.83,0.69,sorting;graph
0.98,0.55,0.75,0.45,0.58,0.47,0.46,graph;partition;basic_knowledge;loop_and_branch;simulate
0.98,0.96,0.58,0.72,0.94,0.87,0.73,tree
0.57,0.87,0.72,0.57,0.46,0.46,0.73,sorting;partition;basic_knowledge;loop_and_branch
0.86,0.71,0.64,0.45,0.43,0.96,0.91,partition;basic_knowledge
0.53,0.83,0.66,0.46,0.55,0.63,0.49,sorting;partition;basic_knowledge;simulate
0.58,0.62,0.64,0.73,0.62,0.96,0.61,sorting
0.97,0.44,0.68,0.97,0.64,0.59,0.67,graph;loop_and_branch
0.73,0.85,0.92,0.44,0.62,0.75,0.84,partition
0.55,0.52,0.96,0.49,0.93,0.97,0.81,sorting;graph;partition
0.83,0.53,0.96,0.87,0.75,0.52,0.8,graph;loop_and_branch
0.49,0.8,0.93,0.48,0.85,0.83,0.44,sorting;partition;simulate
0.75,0.93,0.9,0.93,0.44,0.55,0.98,basic_knowledge;loop_and_branch
0.83,0.62,0.66,0.59,0.73,0.44,0.93,partition;loop_and_branch
0.57,0.67,0.56,0.57,0.91,0.56,0.51,sorting;tree;partition;loop_and_branch;simulate
0.56,0.8,0.77,0.96,0.63,0.68,0.47,sorting;simulate
0.85,0.9,0.92,0.44,0.95,0.64,0.62,partition
0.58,0.7,0.9,0.55,0.83,0.53,0.77,sorting;partition;loop_and_branch
0.69,0.6,0.68,0.66,0.81,0.67,0.49,simulate
0.67,0.9,0.84,0.68,0.45,0.48,0.54,basic_knowledge;loop_and_branch;simulate
0.52,0.78,0.93,0.95,0.71,0.88,0.88,sorting
0.82,0.71,0.97,0.49,0.76,0.49,0.69,partition;loop_and_branch
0.61,0.83,0.91,0.69,0.77,0.66,0.73,
0.98,0.47,0.81,0.92,0.91,0.53,0.72,graph;loop_and_branch
0.67,0.57,0.73,0.53,0.81,0.88,0.86,graph;partition
0.7,0.83,0.56,0.8,0.71,0.73,0.59,tree;simulate
0.87,0.61,0.74,0.59,0.43,0.47,0.7,partition;basic_knowledge;loop_and_branch
0.48,0.55,0.74,0.66,0.57,0.62,0.97,sorting;graph;basic_knowledge
0.54,0.81,0.97,0.76,0.44,0.95,0.58,sorting;basic_knowledge;simulate
0.47,0.55,0.85,0.43,0.88,0.9,0.67,sorting;graph;partition
0.88,0.71,0.47,0.89,0.56,0.44,0.74,tree;basic_knowledge;loop_and_branch
0.43,0.53,0.84,0.43,0.78,0.9,0.97,sorting;graph;partition
0.6,0.84,0.75,0.65,0.62,0.69,0.83,
0.62,0.72,0.8,0.68,0.78,0.67,0.49,simulate
0.68,0.69,0.6,0.64,0.61,0.71,0.51,simulate
0.6,0.5,0.89,0.76,0.87,0.9,0.9,graph
0.55,0.66,0.7,0.54,0.61,0.88,0.53,sorting;partition;simulate
0.73,0.45,0.83,0.74,0.66,0.63,0.48,graph;simulate
0.66,0.93,0.47,0.94,0.68,0.54,0.61,tree;loop_and_branch
0.74,0.59,0.91,0.5,0.74,0.74,0.99,graph;partition
0.81,0.46,0.8,0.63,0.95,0.63,0.48,graph;simulate
0.84,0.78,0.61,0.47,0.63,0.49,0.82,partition;loop_and_branch
0.7,0.45,0.67,0.67,0.61,0.49,0.94,graph;loop_and_branch
0.89,0.7,0.89,0.95,0.97,0.62,0.79,
0.47,0.69,0.54,0.51,0.69,0.73,0.74,sorting;tree;partition
0.74,0.87,0.56,0.71,0.9,0.46,0.82,tree;loop_and_branch
0.49,0.9,0.96,0.81,0.82,0.62,0.68,sorting
0.97,0.53,0.82,0.53,0.87,0.65,0.86,graph;partition
0.87,0.8,0.99,0.84,0.68,0.87,0.76,
0.97,0.78,0.52,0.44,0.56,0.78,0.94,tree;partition;basic_knowledge
0.43,0.61,0.45,0.66,0.57,0.75,0.53,sorting;tree;basic_knowledge;simulate
0.83,0.83,0.79,0.65,0.68,0.77,0.88,
0.76,0.86,0.72,0.84,0.95,0.96,0.93,
0.64,0.52,0.71,0.44,0.73,0.83,0.46,graph;partition;simulate
0.89,0.52,0.58,0.99,0.74,0.58,0.58,graph;tree;loop_and_branch;simulate
0.43,0.6,0.51,0.68,0.69,0.84,0.96,sorting;tree
0.82,0.68,0.53,0.99,0.6,0.64,0.9,tree
0.97,0.53,0.82,0.76,0.67,0.84,0.71,graph
0.86,0.64,0.62,0.86,0.56,0.67,0.74,basic_knowledge
0.73,0.87,0.48,0.43,0.46,0.94,0.63,tree;partition;basic_knowledge
0.77,0.62,0.76,0.6,0.97,0.93,0.54,simulate
0.76,0.95,0.45,0.69,0.83,0.8,0.55,tree;simulate
0.71,0.62,0.47,0.67,0.62,0.63,0.98,tree
0.62,0.66,0.48,0.58,0.45,0.61,0.72,tree;partition;basic_knowledge
0.52,0.86,0.71,0.75,0.53,0.61,0.44,sorting;basic_knowledge;simulate
0.64,0.46,0.45,0.53,0.54,0.76,0.94,graph;tree;partition;basic_knowledge
0.67,0.73,0.87,0.97,0.46,0.92,0.91,basic_knowledge
0.96,0.87,0.61,0.56,0.97,0.54,0.56,partition;loop_and_branch;simulate
0.83,0.51,0.5,0.84,0.68,0.73,0.62,graph;tree
0.44,0.76,0.75,0.62,0.98,0.43,0.77,sorting;loop_and_branch
0.74,0.59,0.75,0.61,0.68,0.89,0.94,graph
0.49,0.61,0.9,0.86,0.87,0.8,0.55,sorting;simulate
0.79,0.58,0.57,0.58,0.79,0.56,0.9,graph;tree;partition;loop_and_branch
0.91,0.44,0.81,0.49,0.88,0.95,0.65,graph;partition
0.53,0.6,0.5,0.47,0.8,0.54,0.82,sorting;tree;partition;loop_and_branch
0.83,0.49,0.68,0.95,0.6,0.72,0.46,graph;simulate
0.52,0.65,0.97,0.85,0.97,0.55,0.47,sorting;loop_and_branch;simulate
0.94,0.8,0.98,0.49,0.93,0.5,0.68,partition;loop_and_branch
0.92,0.99,0.51,0.77,0.78,0.47,0.78,tree;loop_and_branch
0.56,0.51,0.57,0.55,0.46,0.83,0.45,sorting;graph;tree;partition;basic_knowledge;simulate
0.98,0.67,0.72,0.59,0.96,0.6,0.44,partition;simulate
0.55,0.53,0.48,0.59,0.92,0.48,0.6,sorting;graph;tree;partition;loop_and_branch
0.75,0.68,0.53,0.99,0.5,0.99,0.52,tree;basic_knowledge;simulate
0.95,0.96,0.55,0.75,0.9,0.68,0.65,tree
0.57,0.8,0.5,0.88,0.5,0.79,0.84,sorting;tree;basic_knowledge
0.59,0.48,0.95,0.7,0.63,0.88,0.55,sorting;graph;simulate
0.95,0.95,0.44,0.89,0.53,0.92,0.89,tree;basic_knowledge
0.58,0.71,0.9,0.55,0.81,0.44,0.47,sorting;partition;loop_and_branch;simulate
0.89,0.78,0.75,0.44,0.78,0.99,0.5,partition;simulate
0.8,0.88,0.71,0.87,0.98,0.68,0.7,
0.78,0.99,0.71,0.95,0.96,0.57,0.83,loop_and_branch
0.99,0.82,0.64,0.76,0.59,0.69,0.51,basic_knowledge;simulate
0.59,0.71,0.47,0.86,0.73,0.57,0.52,sorting;tree;loop_and_branch;simulate
0.43,0.51,0.85,0.92,0.59,0.7,0.81,sorting;graph;basic_knowledge
0.96,0.98,0.63,0.67,0.76,0.49,0.97,loop_and_branch
0.76,0.57,0.56,0.81,0.72,0.86,0.66,graph;tree
0.93,0.55,0.86,0.98,0.96,0.81,0.44,graph;simulate
0.77,0.65,0.89,0.56,0.46,0.78,0.59,partition;basic_knowledge;simulate
0.79,0.62,0.74,0.57,0.85,0.83,0.56,partition;simulate
0.71,0.68,0.98,0.48,0.73,0.9,0.84,partition
0.71,0.69,0.85,0.65,0.72,0.97,0.5,simulate
0.58,0.63,0.83,0.84,0.57,0.82,0.87,sorting;basic_knowledge
0.84,0.83,0.76,0.58,0.8,0.94,0.75,partition
0.53,0.71,0.95,0.85,0.95,0.75,0.68,sorting
0.6,0.86,0.55,0.56,0.7,0.88,0.5,tree;partition;simulate
0.79,0.71,0.53,0.5,0.56,0.85,0.77,tree;partition;basic_knowledge
0.52,0.93,0.78,0.73,0.44,0.83,0.73,sorting;basic_knowledge
0.9,0.83,0.56,0.44,0.5,0.85,0.7,tree;partition;basic_knowledge
0.98,0.88,0.93,0.82,0.58,0.74,0.66,basic_knowledge
0.55,0.74,0.87,0.69,0.89,0.47,0.93,sorting;loop_and_branch
0.47,0.82,0.79,0.96,0.52,0.76,0.74,sorting;basic_knowledge
0.74,0.69,0.87,0.85,0.57,0.53,0.93,basic_knowledge;loop_and_branch
0.57,0.62,0.91,0.51,0.68,0.64,0.82,sorting;partition
0.78,0.55,0.82,0.49,0.66,0.93,0.95,graph;partition
0.67,0.52,0.64,0.75,0.48,0.59,0.94,graph;basic_knowledge;loop_and_branch
0.77,0.88,0.54,0.77,0.79,0.68,0.46,tree;simulate
0.94,0.51,0.52,0.98,0.99,0.9,0.59,graph;tree;simulate
0.91,0.51,0.78,0.62,0.89,0.52,0.58,graph;loop_and_branch;simulate
0.78,0.86,0.75,0.95,0.78,0.51,0.9,loop_and_branch
0.6,0.99,0.87,0.8,0.5,0.58,0.73,basic_knowledge;loop_and_branch
0.66,0.5,0.67,0.69,0.87,0.79,0.87,graph
